Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Liberia,Liberia,NA,Ebola,Humans,NA,2562337,"PRO/AH/EDR> Ebola virus disease - West Africa (72): WHO update, Sierra Leone",http://promedmail.org/direct.php?id=20140624.2562337,6/24/14 11:22,No Tag,7,1,NA,NA,41,NA,24,25,NA,ProMED Mail,WHO Global Alert and Response,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2562337,"PRO/AH/EDR> Ebola virus disease - West Africa (72): WHO update, Sierra Leone",http://promedmail.org/direct.php?id=20140624.2562337,6/24/14 11:22,No Tag,39,8,NA,NA,136,NA,103,58,NA,ProMED Mail,WHO Global Alert and Response,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2566397,"PRO/AH/EDR> Ebola virus disease - West Africa (73): WHO update, Sierra Leone",http://promedmail.org/direct.php?id=20140625.2566397,6/25/14 20:48,No Tag,NA,4,NA,NA,158,NA,147,34,NA,ProMED Mail,WHO Global Alert and Response,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2566397,"PRO/AH/EDR> Ebola virus disease - West Africa (73): WHO update, Sierra Leone",http://promedmail.org/direct.php?id=20140625.2566397,6/25/14 20:48,No Tag,NA,3,NA,NA,390,NA,260,270,NA,ProMED Mail,WHO Global Alert and Response,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2566397,"PRO/AH/EDR> Ebola virus disease - West Africa (73): WHO update, Sierra Leone",http://promedmail.org/direct.php?id=20140625.2566397,6/25/14 20:48,No Tag,10,8,NA,NA,51,NA,34,34,NA,ProMED Mail,WHO Global Alert and Response,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2566502,PRO/AH/EDR> Ebola virus disease - West Africa (74): CDC summary,http://promedmail.org/direct.php?id=20140626.2566502,6/26/14 8:9,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2572316,"PRO/AH/EDR> Ebola virus disease - West Africa (75): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140629.2572316,6/29/14 21:47,No Tag,NA,NA,NA,NA,396,280,NA,NA,NA,ProMED Mail,"Star Tribune, USA",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2572316,"PRO/AH/EDR> Ebola virus disease - West Africa (75): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140629.2572316,6/29/14 21:47,No Tag,NA,NA,NA,NA,63,41,NA,NA,NA,ProMED Mail,"Star Tribune, USA",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2572316,"PRO/AH/EDR> Ebola virus disease - West Africa (75): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140629.2572316,6/29/14 21:47,No Tag,NA,NA,NA,NA,363,165,187,NA,NA,ProMED Mail,Virus Disease Outbreak Response: Update,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2573602,"PRO/AH/EDR> Ebola virus disease - West Africa (76): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140630.2573602,6/30/14 10:5,No Tag,NA,NA,NA,NA,NA,270,NA,NA,NA,ProMED Mail,Agence France-Presse,WHO
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2573602,"PRO/AH/EDR> Ebola virus disease - West Africa (76): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140630.2573602,6/30/14 10:5,No Tag,NA,NA,NA,NA,NA,66,NA,NA,NA,ProMED Mail,Agence France-Presse,WHO
Liberia,Liberia,NA,Ebola,Humans,NA,2573602,"PRO/AH/EDR> Ebola virus disease - West Africa (76): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140630.2573602,6/30/14 10:5,No Tag,NA,NA,NA,NA,NA,34,NA,NA,NA,ProMED Mail,Agence France-Presse,WHO
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,11,2,NA,NA,239,99,199,65,NA,ProMED Mail,"WHO Global Alert and Response (GAR), Disease Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,8,7,NA,NA,107,65,52,33,NA,ProMED Mail,"WHO Global Alert and Response (GAR), Disease Outbreak News [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,3,5,NA,NA,413,303,293,193,NA,ProMED Mail,"WHO Global Alert and Response (GAR), Disease Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,NA,NA,2,NA,90,49,43,NA,NA,ProMED Mail,"UN Office for the Coordination of Humanitarian Affairs (OCHA), ReliefWeb, UNICEF report [edited]",NA
Liberia,Liberia,Lofa County,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,NA,NA,NA,NA,49,27,26,NA,NA,ProMED Mail,"UN Office for the Coordination of Humanitarian Affairs (OCHA), ReliefWeb, UNICEF report [edited]",NA
Liberia,Liberia,Margibi County,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,NA,NA,NA,NA,3,2,1,NA,NA,ProMED Mail,"UN Office for the Coordination of Humanitarian Affairs (OCHA), ReliefWeb, UNICEF report [edited]",NA
Liberia,Liberia,Montserrado County,Ebola,Humans,NA,2579682,"PRO/AH/EDR> Ebola virus disease - West Africa (77): WHO, meeting, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140701.2579682,7/1/14 14:56,No Tag,NA,NA,NA,NA,20,20,16,NA,NA,ProMED Mail,"UN Office for the Coordination of Humanitarian Affairs (OCHA), ReliefWeb, UNICEF report [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2583396,"PRO/AH/EDR> Ebola virus disease - West Africa (78): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140702.2583396,7/2/14 21:15,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2583396,"PRO/AH/EDR> Ebola virus disease - West Africa (78): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140702.2583396,7/2/14 21:15,No Tag,NA,NA,NA,NA,NA,NA,191,63,NA,ProMED Mail,Reuters [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2583396,"PRO/AH/EDR> Ebola virus disease - West Africa (78): Guinea, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140702.2583396,7/2/14 21:15,No Tag,6,1,NA,NA,96,NA,56,NA,NA,ProMED Mail,FrontPageAfrica Online [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2586162,"PRO/AH/EDR> Ebola virus disease - West Africa (79): Guinea, Nigeria prevention, drug testing",http://promedmail.org/direct.php?id=20140703.2586162,7/3/14 20:42,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2587114,"PRO/AH/EDR> Ebola virus disease - West Africa (80): WHO update, meeting",http://promedmail.org/direct.php?id=20140704.2587114,7/4/14 11:51,No Tag,NA,2,NA,NA,412,305,292,194,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2587114,"PRO/AH/EDR> Ebola virus disease - West Africa (80): WHO update, meeting",http://promedmail.org/direct.php?id=20140704.2587114,7/4/14 11:51,No Tag,8,10,NA,NA,115,75,54,38,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2587114,"PRO/AH/EDR> Ebola virus disease - West Africa (80): WHO update, meeting",http://promedmail.org/direct.php?id=20140704.2587114,7/4/14 11:51,No Tag,13,2,NA,NA,252,101,211,67,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2589463,"PRO/AH/EDR> Ebola virus disease - West Africa (81): Guinea, Sierra Leone, Liberia, overseas",http://promedmail.org/direct.php?id=20140705.2589463,7/5/14 14:2,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2589463,"PRO/AH/EDR> Ebola virus disease - West Africa (81): Guinea, Sierra Leone, Liberia, overseas",http://promedmail.org/direct.php?id=20140705.2589463,7/5/14 14:2,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2589463,"PRO/AH/EDR> Ebola virus disease - West Africa (81): Guinea, Sierra Leone, Liberia, overseas",http://promedmail.org/direct.php?id=20140705.2589463,7/5/14 14:2,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2591433,"PRO/AH/EDR> Ebola virus disease - West Africa (82): Guinea, prevention, Tanzania, UK",http://promedmail.org/direct.php?id=20140706.2591433,7/6/14 21:30,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Tanzania,Tanzania,NA,Ebola,Humans,NA,2591433,"PRO/AH/EDR> Ebola virus disease - West Africa (82): Guinea, prevention, Tanzania, UK",http://promedmail.org/direct.php?id=20140706.2591433,7/6/14 21:30,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Ghana,Ghana,NA,Ebola,Humans,NA,2593018,"PRO/AH/EDR> Ebola virus disease - West Africa (83): Ghana susp, Guinea, S. Leone, Liberia",http://promedmail.org/direct.php?id=20140708.2593018,7/8/14 15:41,No Tag,NA,1,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,"Modern Ghana, Joy News report [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2593018,"PRO/AH/EDR> Ebola virus disease - West Africa (83): Ghana susp, Guinea, S. Leone, Liberia",http://promedmail.org/direct.php?id=20140708.2593018,7/8/14 15:41,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2593018,"PRO/AH/EDR> Ebola virus disease - West Africa (83): Ghana susp, Guinea, S. Leone, Liberia",http://promedmail.org/direct.php?id=20140708.2593018,7/8/14 15:41,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2593018,"PRO/AH/EDR> Ebola virus disease - West Africa (83): Ghana susp, Guinea, S. Leone, Liberia",http://promedmail.org/direct.php?id=20140708.2593018,7/8/14 15:41,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2596192,PRO/AH/EDR> Ebola virus disease - West Africa (84): WHO update,http://promedmail.org/direct.php?id=20140708.2596192,7/8/14 23:50,No Tag,NA,2,NA,NA,408,307,294,195,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2596192,PRO/AH/EDR> Ebola virus disease - West Africa (84): WHO update,http://promedmail.org/direct.php?id=20140708.2596192,7/8/14 23:50,No Tag,34,14,NA,NA,305,127,269,114,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2596192,PRO/AH/EDR> Ebola virus disease - West Africa (84): WHO update,http://promedmail.org/direct.php?id=20140708.2596192,7/8/14 23:50,No Tag,16,9,NA,NA,131,84,63,41,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2601330,"PRO/AH/EDR> Ebola virus disease - West Africa (85): Guinea, Liberia, region",http://promedmail.org/direct.php?id=20140710.2601330,7/10/14 21:29,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2601330,"PRO/AH/EDR> Ebola virus disease - West Africa (85): Guinea, Liberia, region",http://promedmail.org/direct.php?id=20140710.2601330,7/10/14 21:29,No Tag,3,NA,NA,NA,133,80,62,38,NA,ProMED Mail,UNICEF-Liberia Ebola Virus Disease: Sit Rep No. 34 [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2603448,"PRO/AH/EDR> Ebola virus disease - West Africa (86): WHO, UNSC, ECOWAS, Guinea, Liberia",http://promedmail.org/direct.php?id=20140711.2603448,7/11/14 20:37,No Tag,1,2,NA,NA,409,309,296,197,NA,ProMED Mail,"WHO Disease outbreak news [excerpted, edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2603448,"PRO/AH/EDR> Ebola virus disease - West Africa (86): WHO, UNSC, ECOWAS, Guinea, Liberia",http://promedmail.org/direct.php?id=20140711.2603448,7/11/14 20:37,No Tag,11,4,NA,NA,142,88,70,44,NA,ProMED Mail,"WHO Disease outbreak news [excerpted, edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2603448,"PRO/AH/EDR> Ebola virus disease - West Africa (86): WHO, UNSC, ECOWAS, Guinea, Liberia",http://promedmail.org/direct.php?id=20140711.2603448,7/11/14 20:37,No Tag,32,15,NA,NA,337,142,298,127,NA,ProMED Mail,"WHO Disease outbreak news [excerpted, edited]",NA
Liberia,Liberia,Lofa,Ebola,Humans,NA,2605570,"PRO/AH/EDR> Ebola virus disease - West Africa (87): Liberia,Sierra Leone, MSF, drugs,vaccine",http://promedmail.org/direct.php?id=20140712.2605570,7/12/14 22:0,No Tag,2,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,International Business Times [edited],NA
Liberia,Liberia,Montserrado,Ebola,Humans,NA,2605570,"PRO/AH/EDR> Ebola virus disease - West Africa (87): Liberia,Sierra Leone, MSF, drugs,vaccine",http://promedmail.org/direct.php?id=20140712.2605570,7/12/14 22:0,No Tag,2,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,International Business Times [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2605570,"PRO/AH/EDR> Ebola virus disease - West Africa (87): Liberia,Sierra Leone, MSF, drugs,vaccine",http://promedmail.org/direct.php?id=20140712.2605570,7/12/14 22:0,No Tag,NA,NA,NA,NA,NA,NA,337,NA,NA,ProMED Mail,International Business Times [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2605570,"PRO/AH/EDR> Ebola virus disease - West Africa (87): Liberia,Sierra Leone, MSF, drugs,vaccine",http://promedmail.org/direct.php?id=20140712.2605570,7/12/14 22:0,No Tag,NA,NA,NA,NA,NA,NA,315,99,NA,ProMED Mail,Bloomberg [edited],Ministry of Health
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2607118,"PRO/AH/EDR> Ebola virus disease - West Africa (88): WHO, Liberia, prevention, challenges",http://promedmail.org/direct.php?id=20140713.2607118,7/13/14 22:21,No Tag,NA,NA,NA,NA,340,142,NA,NA,NA,ProMED Mail,Herald Scotland [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2613043,"PRO/AH/EDR> Ebola virus disease - West Africa (89): WHO update, Sierra Leone, Liberia, risk",http://promedmail.org/direct.php?id=20140715.2613043,7/15/14 21:7,No Tag,49,52,NA,NA,386,194,339,151,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2613043,"PRO/AH/EDR> Ebola virus disease - West Africa (89): WHO update, Sierra Leone, Liberia, risk",http://promedmail.org/direct.php?id=20140715.2613043,7/15/14 21:7,No Tag,30,13,NA,NA,172,105,70,48,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2613043,"PRO/AH/EDR> Ebola virus disease - West Africa (89): WHO update, Sierra Leone, Liberia, risk",http://promedmail.org/direct.php?id=20140715.2613043,7/15/14 21:7,No Tag,6,3,NA,NA,406,304,297,198,NA,ProMED Mail,"WHO Global Alert and Response, Disease Outbreak News [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2613043,"PRO/AH/EDR> Ebola virus disease - West Africa (89): WHO update, Sierra Leone, Liberia, risk",http://promedmail.org/direct.php?id=20140715.2613043,7/15/14 21:7,No Tag,NA,NA,NA,NA,NA,NA,325,100,NA,ProMED Mail,"MOHS Update on Ebola Fever No. 39, 5-12 Jul 2014 [by email, edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2613043,"PRO/AH/EDR> Ebola virus disease - West Africa (89): WHO update, Sierra Leone, Liberia, risk",http://promedmail.org/direct.php?id=20140715.2613043,7/15/14 21:7,No Tag,NA,NA,NA,NA,142,88,NA,NA,NA,ProMED Mail,IRIN News [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2615640,"PRO/AH/EDR> Ebola virus disease - West Africa (90): Sierra Leone, Ghana meeting, history",http://promedmail.org/direct.php?id=20140716.2615640,7/16/14 20:20,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Ghana,Ghana,NA,Ebola,Humans,NA,2615640,"PRO/AH/EDR> Ebola virus disease - West Africa (90): Sierra Leone, Ghana meeting, history",http://promedmail.org/direct.php?id=20140716.2615640,7/16/14 20:20,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2618525,"PRO/AH/EDR> Ebola virus disease - West Africa (91): WHO, Guinea,Sierra Leone,Liberia, border",http://promedmail.org/direct.php?id=20140717.2618525,7/17/14 20:56,No Tag,6,5,NA,NA,411,310,301,203,NA,ProMED Mail,WHO/AFRO Outbreak News [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2618525,"PRO/AH/EDR> Ebola virus disease - West Africa (91): WHO, Guinea,Sierra Leone,Liberia, border",http://promedmail.org/direct.php?id=20140717.2618525,7/17/14 20:56,No Tag,11,4,NA,NA,397,197,346,153,NA,ProMED Mail,WHO/AFRO Outbreak News [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2618525,"PRO/AH/EDR> Ebola virus disease - West Africa (91): WHO, Guinea,Sierra Leone,Liberia, border",http://promedmail.org/direct.php?id=20140717.2618525,7/17/14 20:56,No Tag,2,1,NA,NA,174,106,70,51,NA,ProMED Mail,WHO/AFRO Outbreak News [edited],NA
Guinea,Guinea,NA,Ebola,Humans,NA,2620802,"PRO/AH/EDR> Ebola virus disease - West Africa (92): WHO, Sierra Leone, drug dev, ECDC",http://promedmail.org/direct.php?id=20140718.2620802,7/18/14 19:54,No Tag,NA,NA,NA,NA,410,310,301,203,NA,ProMED Mail,WHO/AFRO [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2620802,"PRO/AH/EDR> Ebola virus disease - West Africa (92): WHO, Sierra Leone, drug dev, ECDC",http://promedmail.org/direct.php?id=20140718.2620802,7/18/14 19:54,No Tag,22,10,NA,NA,196,116,76,54,NA,ProMED Mail,WHO/AFRO [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2620802,"PRO/AH/EDR> Ebola virus disease - West Africa (92): WHO, Sierra Leone, drug dev, ECDC",http://promedmail.org/direct.php?id=20140718.2620802,7/18/14 19:54,No Tag,45,9,NA,NA,442,206,368,165,NA,ProMED Mail,WHO/AFRO [edited],NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2622727,"PRO/AH/EDR> Ebola virus disease - West Africa (93): Sierra Leone, WHO underfunded",http://promedmail.org/direct.php?id=20140719.2622727,7/19/14 21:4,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2623966,PRO/AH/EDR> Ebola virus disease - West Africa (94): Sierra Leone,http://promedmail.org/direct.php?id=20140720.2623966,7/20/14 20:58,No Tag,NA,NA,NA,NA,NA,NA,399,131,NA,ProMED Mail,"Ministry of Health and Sanitation (MOHS), Sierra Leone (Via e-mail from Metabiota) [edited]",NA
"Aru, Congo - Kinshasa",DR Congo,NA,Ebola,Humans,NA,2624831,PRO/AH/EDR> Ebola virus disease - Congo DR: susp,http://promedmail.org/direct.php?id=20140721.2624831,7/21/14 13:55,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2626215,"PRO/AH/EDR> Ebola virus disease - West Africa (95): FAO alert, Sierra Leone",http://promedmail.org/direct.php?id=20140722.2626215,7/22/14 2:33,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2628773,"PRO/AH/EDR> Ebola virus disease - West Africa (96): Liberia, Sierra Leone",http://promedmail.org/direct.php?id=20140723.2628773,7/23/14 2:44,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2628773,"PRO/AH/EDR> Ebola virus disease - West Africa (96): Liberia, Sierra Leone",http://promedmail.org/direct.php?id=20140723.2628773,7/23/14 2:44,No Tag,NA,NA,NA,NA,NA,NA,409,139,NA,ProMED Mail,"Ministry of Health and Sanitation, Sierra Leone [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2630441,"PRO/AH/EDR> Ebola virus disease - West Africa (97): Sierra Leone, Liberia, tests",http://promedmail.org/direct.php?id=20140723.2630441,7/23/14 14:45,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2630441,"PRO/AH/EDR> Ebola virus disease - West Africa (97): Sierra Leone, Liberia, tests",http://promedmail.org/direct.php?id=20140723.2630441,7/23/14 14:45,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2632442,"PRO/AH/EDR> Ebola virus disease - West Africa (99): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140724.2632442,7/24/14 15:20,No Tag,5,4,NA,NA,415,314,304,204,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2632442,"PRO/AH/EDR> Ebola virus disease - West Africa (99): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140724.2632442,7/24/14 15:20,No Tag,28,11,NA,NA,224,127,77,56,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2632442,"PRO/AH/EDR> Ebola virus disease - West Africa (99): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140724.2632442,7/24/14 15:20,No Tag,12,13,NA,NA,454,219,405,182,NA,ProMED Mail,"WHO/AFRO, Epidemic & Pandemic Alert and Response (EPR), Outbreak News [edited]",NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2632442,"PRO/AH/EDR> Ebola virus disease - West Africa (99): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20140724.2632442,7/24/14 15:20,No Tag,NA,NA,NA,NA,NA,NA,427,144,NA,ProMED Mail,"Ministry of Health and Sanitation, Sierra Leone via SUBMIT INFO tab at top of ProMED-mail home page [edited]",NA
Nigeria,Nigeria,NA,Ebola,Humans,NA,2632831,"PRO/AH/EDR> Ebola virus disease - West Africa (98): Nigeria susp, alert",http://promedmail.org/direct.php?id=20140724.2632831,7/24/14 14:4,No Tag,1,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Nairaland Forum [edited],NA
Cote d'Ivoire,Cote d'Ivoire,NA,Ebola,Humans,NA,2633437,"PRO/AH/EDR> Ebola virus disease - West Africa (100): Cote d'Ivoire, Tanzania, Nigeria alerts",http://promedmail.org/direct.php?id=20140724.2633437,7/24/14 17:11,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Tanzania,Tanzania,NA,Ebola,Humans,NA,2633437,"PRO/AH/EDR> Ebola virus disease - West Africa (100): Cote d'Ivoire, Tanzania, Nigeria alerts",http://promedmail.org/direct.php?id=20140724.2633437,7/24/14 17:11,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Nigeria,Nigeria,NA,Ebola,Humans,NA,2633437,"PRO/AH/EDR> Ebola virus disease - West Africa (100): Cote d'Ivoire, Tanzania, Nigeria alerts",http://promedmail.org/direct.php?id=20140724.2633437,7/24/14 17:11,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Nigeria,Nigeria,NA,Ebola,Humans,NA,2636095,"PRO/AH/EDR> Ebola virus disease - West Africa (101): Nigeria ex Liberia, WHO, Sierra Leone",http://promedmail.org/direct.php?id=20140726.2636095,7/26/14 3:56,No Tag,NA,NA,NA,NA,1,NA,NA,NA,NA,ProMED Mail,AP [edited],NA
Liberia,Liberia,NA,Ebola,Humans,NA,2636095,"PRO/AH/EDR> Ebola virus disease - West Africa (101): Nigeria ex Liberia, WHO, Sierra Leone",http://promedmail.org/direct.php?id=20140726.2636095,7/26/14 3:56,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2636095,"PRO/AH/EDR> Ebola virus disease - West Africa (101): Nigeria ex Liberia, WHO, Sierra Leone",http://promedmail.org/direct.php?id=20140726.2636095,7/26/14 3:56,No Tag,NA,NA,NA,NA,NA,NA,435,146,NA,ProMED Mail,"Ministry of Health and Sanitation, Sierra Leone [edited]",NA
Nigeria,Nigeria,NA,Ebola,Humans,NA,2636858,"PRO/AH/EDR> Ebola virus disease - West Africa (102): Nigeria, Sierra Leone, drugs, vaccine",http://promedmail.org/direct.php?id=20140726.2636858,7/26/14 12:3,No Tag,NA,NA,NA,NA,NA,NA,NA,1,NA,ProMED Mail,Linda Ikeji's Blog [edited],NA
